Company Name,Page URL,Headline,Subtext,Tiers,Features,Extras,Notes
Finta,https://www.finta.com/pricing,Pricing,"Scales with features you use, not your expenses. Start with Accounting first.",two,"Highlighted tier,Free trial (then pay)","Testimonials,Customer logos,FAQs","Accounting, bookkeeping, taxes"
Peasy,https://peasy.so/pricing,pricing,"peasy is free to get started, with a pro plan starting at $9 for 50,000 monthly events.",two,"Highlighted tier,Calculator or slider,Free tier",FAQs,Web analytics
Seamless AI,https://seamless.ai/pricing,Perfect Pricing for Startups to the Fortune 500,"Get special pricing for unlimited users, unlimited leads, prospector, job changes, buyer intent, and enrichment.",three,"Highlighted tier,Enterprise tier,Free tier,Hidden prices","FAQs,Ratings,Email capture onboarding",Sales leads pipelines. Design notes here: https://x.com/uiuxadrian/status/1897693682977193987
Webflow,https://webflow.com/pricing,Our pricing,"Build, publish, and host with ease",five,"Enterprise tier,Highlighted tier,Free tier,Free trial (then pay),Monthly Yearly toggle,More info tooltips,Add-ons,Sticky header on scroll,Feature comparison rows",FAQs,"Huge, confusing, multi toggles"
Typefully,https://typefully.com/pricing,Pricing,,four,"Free tier,Feature comparison rows,Monthly Yearly toggle,Free trial (then pay)","Testimonials,Bento Grid",Has Twitter account onboarding for free
Framer,https://www.framer.com/pricing,Pricing,"Use Framer for free. Upgrade to add a custom domain, access additional features, and increase limits.",three,"Feature comparison rows,Enterprise tier",FAQs,Has a switcher from Personal to Business
Harvest,https://www.getharvest.com/pricing,Simple & flexible pricing,Get started on any plan with a free 30-day trial. No credit card required.,three,"Monthly Yearly toggle,Free tier,Free trial (then pay),Feature comparison rows,More info tooltips","FAQs,Testimonials,Awards,Ratings",
Basecamp,https://basecamp.com/pricing,Pick the package that fits you best.,And don’t stress — you can always switch packages later.,three,"Free tier,Highlighted tier,Free trial (then pay)","FAQs,Testimonials,Ratings",
Algolia,https://www.algolia.com/pricing,Pricing plans that reflect your needs,Start for free and grow into pay-as-you-go or annual plans. Upgrade anytime for more advanced features.,four,"Free tier,Feature comparison rows,More info tooltips","FAQs,Chat in corner",
Copy.ai,https://www.copy.ai/prices,Copy.ai pricing,,one,Enterprise tier,"Customer logos,FAQs",
Gumlet,https://www.gumlet.com/pricing/,"Simple, transparent pricing",,four,"Highlighted tier,Free tier,Feature comparison rows,Enterprise tier,Monthly Yearly toggle,Sticky header on scroll","Customer logos,FAQs,Chat in corner",There is a toggle switch to display the pricing separately for images and videos.
KnowledgeOwl,https://www.knowledgeowl.com/pricing,"Straightforward pricing. No hidden upsells, no surprises.",,three,"Highlighted tier,Free trial (then pay),Feature comparison rows,Enterprise tier,More info tooltips","Testimonials,Customer logos,Ratings,Awards,FAQs,Chat in corner",
Restream,https://restream.io/pricing,Choose how fast you want to grow,Create beautiful live streams and broadcast everywhere at once.,four,"Highlighted tier,Free tier,Monthly Yearly toggle,Feature comparison rows,More info tooltips,Enterprise tier,Sticky header on scroll","Testimonials,FAQs,Customer logos,Chat in corner,Custom quote",
Postman,https://www.postman.com/pricing/,Postman API Platform plans and pricing,,four,"Free tier,Feature comparison rows,Enterprise tier,Monthly Yearly toggle,More info tooltips,Sticky header on scroll,Add-ons","FAQs,Customer logos,Chat in corner",
GitHub,https://github.com/pricing,Try the Copilot-powered platform," We get it, there's a lot you can do with GitHub. That’s why we've packed all of it into a single risk-free trial that includes GitHub Enterprise, Copilot, and Advanced Security.",three,"Highlighted tier,Free tier,Free trial (then pay),Feature comparison rows,Enterprise tier,Add-ons,Sticky header on scroll","Customer logos,Testimonials",
Fivetran,https://fivetran.com/pricing,Only pay for what you use,"Get started now on our Free Plan. Upgrade to unlock unlimited usage, access premium features, and save up to 22% with an annual contract.",four,"Highlighted tier,Free tier,Free trial (then pay),Hidden prices,Enterprise tier,Calculator or slider",FAQs,Please check if it really has a Calculator or slider.
PagerDuty,https://www.pagerduty.com/pricing/,Operations Cloud plans and pricing,Digital operations management for the modern enterprise,four,"Highlighted tier,Free tier,Free trial (then pay),Enterprise tier,Feature comparison rows,More info tooltips,Add-ons,Hidden prices,Sticky header on scroll,Monthly Yearly toggle","Customer logos,Testimonials,FAQs",
Datadog,https://www.datadoghq.com/pricing/,"Flexible, transparent pricing designed to scale with your business",Multi-Year/Volume discounts available,three,"Free tier,Free trial (then pay),Feature comparison rows,Enterprise tier",FAQs,
Sentry,https://sentry.io/pricing/,Pricing plans for dev teams of all sizes,,four,"Free tier,Free trial (then pay),Add-ons,Monthly Yearly toggle,Enterprise tier,Hidden prices,Sticky header on scroll,Feature comparison rows",,
GitLab,https://about.gitlab.com/pricing/,Get started with GitLab,"The most comprehensive, intelligent DevSecOps platform",three,"Free tier,Add-ons,Hidden prices,Enterprise tier","Customer logos,Chat in corner,FAQs","Free trial is available, but the button is at the bottom of the page."
Netlify,https://www.netlify.com/pricing/,Pricing,,three,"Free tier,Enterprise tier,Hidden prices,Feature comparison rows,Sticky header on scroll,Add-ons","Chat in corner,FAQs,Customer logos",For more information there is a small arrow instead of a tooltip.
New Relic,https://newrelic.com/pricing,"Simple, transparent pricing. Only pay for what you use.",,four,"Free tier,Hidden prices,Enterprise tier,More info tooltips,Sticky header on scroll,Add-ons,Feature comparison rows",FAQs,
Stripe,https://stripe.com/pricing,Pricing built for businesses of all sizes,,two,Hidden prices,"Credit card logos,Customer logos,FAQs",
Auth0,https://auth0.com/pricing/,Flexible pricing for developers ＆ companies,,four,"Monthly Yearly toggle,Free tier,Add-ons,Enterprise tier,Hidden prices,Calculator or slider,Feature comparison rows,More info tooltips,Sticky header on scroll","Chat in corner,Customer logos,FAQs",
Segment,https://segment.com/pricing/,Pricing that scales,"Find the right plan and add-ons to enable your engineering, marketing, and product teams to power adaptive, personalized customer experiences with good data.",two,"Add-ons,Hidden prices,More info tooltips","Customer logos,FAQs",
LaunchDarkly,https://launchdarkly.com/pricing/,Flexible pricing for every stage and team.,,four,"Highlighted tier,Free tier,Enterprise tier,Hidden prices,Feature comparison rows,Sticky header on scroll,More info tooltips,Monthly Yearly toggle,Add-ons,Free trial (then pay)","Customer logos,Chat in corner,FAQs,Testimonials",
Snyk,https://snyk.io/plans/,Snyk AI Trust Platform plans and pricing,Snyk has plans to suit developers and security teams at all levels — from solo developers to complex enterprise organizations. Gain full platform access that supports consolidation and streamlines AppSec program maturity.,three,"Free tier,Enterprise tier,Hidden prices,Add-ons,Feature comparison rows","Chat in corner,Custom quote,FAQs",
DigitalOcean,https://www.digitalocean.com/pricing/,"Simple, predictable pricing",Always know what you'll pay with monthly caps and flat pricing.,,"Highlighted tier,Calculator or slider",FAQs,"I am confused about the number of tiers. Kindly check, sir."
Tines,https://www.tines.io/pricing,Pricing,"We believe in simplicity, so our pricing model reflects that with our always‑free community edition alongside our paid plans.",two,"Free tier,Add-ons,Hidden prices","Chat in corner,Customer logos,Testimonials",
MongoDB,https://www.mongodb.com/pricing,MongoDB Pricing,"The data platform built by developers, for developers",three,"Free tier,Highlighted tier,Sticky header on scroll,Feature comparison rows,More info tooltips,Hidden prices,Enterprise tier",Chat in corner,
Canva,https://www.canva.com/pricing/,Design anything with the right plan,,three,"Free tier,Monthly Yearly toggle,Free trial (then pay),Feature comparison rows,Sticky header on scroll,More info tooltips","Customer logos,FAQs",
Zapier,https://zapier.com/pricing,Scalable AI automation for businesses of all sizes,,four,"Free tier,Free trial (then pay),Enterprise tier,Hidden prices,More info tooltips,Calculator or slider,Monthly Yearly toggle,Add-ons,Sticky header on scroll,Feature comparison rows","Chat in corner,FAQs",
Shopify,https://www.shopify.com/pricing,"Start for free, then enjoy $1/month for 3 months",Choose the best plan for your business. Change plans as you grow.,four,"Monthly Yearly toggle,Free trial (then pay),Highlighted tier","Email capture onboarding,Customer logos,FAQs",
